Frame,F1 (Head Tilt),F2 (Slouch),Class
3,-1.8,1.09,sit up straight
5,-2.88,1.67,straighten head
6,-2.63,2.21,straighten head
8,-1.17,2.68,straighten head
9,5.65,4.79,straighten head
10,1.14,4.51,straighten head
11,2.0,4.95,straighten head
13,0.94,1.36,sit up straight
14,1.79,1.44,sit up straight
15,1.59,1.46,sit up straight
16,1.49,1.45,sit up straight
17,1.41,1.49,sit up straight
18,1.32,1.5,sit up straight
19,1.29,1.5,sit up straight
20,1.26,1.49,sit up straight
21,1.2,1.5,sit up straight
22,1.22,1.5,sit up straight
23,1.19,1.5,sit up straight
24,1.25,1.57,straighten head
25,1.1,1.5,looks good
26,1.23,1.44,sit up straight
27,0.91,1.47,sit up straight
28,0.86,1.47,sit up straight
29,0.87,1.47,sit up straight
30,0.85,1.47,sit up straight
31,0.82,1.47,sit up straight
32,0.8,1.46,sit up straight
33,0.72,1.46,sit up straight
34,0.71,1.46,sit up straight
35,0.73,1.46,sit up straight
36,0.73,1.47,sit up straight
37,0.75,1.47,sit up straight
38,0.76,1.46,sit up straight
39,0.75,1.46,sit up straight
40,0.72,1.46,sit up straight
41,0.72,1.47,sit up straight
42,0.73,1.46,sit up straight
43,0.74,1.46,sit up straight
44,0.78,1.46,sit up straight
45,0.77,1.46,sit up straight
46,0.79,1.46,sit up straight
47,0.8,1.45,sit up straight
48,0.82,1.45,sit up straight
49,0.87,1.45,sit up straight
50,0.88,1.45,sit up straight
51,0.88,1.45,sit up straight
52,0.86,1.45,sit up straight
53,0.88,1.45,sit up straight
54,0.9,1.45,sit up straight
55,0.89,1.45,sit up straight
56,0.89,1.45,sit up straight
57,0.88,1.45,sit up straight
58,0.9,1.45,sit up straight
59,0.89,1.45,sit up straight
60,0.91,1.45,sit up straight
61,0.91,1.45,sit up straight
62,0.91,1.45,sit up straight
63,0.91,1.45,sit up straight
64,0.94,1.45,sit up straight
65,0.94,1.45,sit up straight
66,0.91,1.45,sit up straight
67,0.9,1.44,sit up straight
68,0.92,1.45,sit up straight
69,0.92,1.45,sit up straight
70,0.91,1.45,sit up straight
71,0.94,1.45,sit up straight
72,0.92,1.44,sit up straight
73,1.05,1.44,sit up straight
74,1.07,1.44,sit up straight
75,1.39,1.45,sit up straight
76,1.53,1.45,sit up straight
77,1.57,1.46,sit up straight
78,1.43,1.46,sit up straight
79,1.49,1.47,sit up straight
80,1.46,1.46,sit up straight
81,1.51,1.47,sit up straight
82,1.49,1.46,sit up straight
83,1.49,1.47,sit up straight
84,1.5,1.47,sit up straight
85,1.47,1.48,sit up straight
86,1.51,1.49,sit up straight
87,1.46,1.49,sit up straight
88,1.4,1.47,sit up straight
89,1.41,1.46,sit up straight
90,1.38,1.46,sit up straight
91,1.4,1.47,sit up straight
92,1.37,1.47,sit up straight
93,1.38,1.47,sit up straight
94,1.19,1.5,sit up straight
95,1.18,1.51,sit up straight
96,1.15,1.52,looks good
97,1.13,1.43,sit up straight
98,1.05,1.42,sit up straight
99,1.07,1.41,sit up straight
100,1.08,1.41,sit up straight
101,1.08,1.41,sit up straight
102,1.09,1.41,sit up straight
103,1.08,1.41,sit up straight
104,1.08,1.41,sit up straight
105,1.07,1.41,sit up straight
106,1.06,1.4,sit up straight
107,1.05,1.4,sit up straight
108,1.09,1.41,sit up straight
109,1.09,1.41,sit up straight
110,1.06,1.41,sit up straight
111,1.07,1.41,sit up straight
112,1.05,1.41,sit up straight
113,1.05,1.41,sit up straight
114,1.02,1.41,sit up straight
115,1.04,1.42,sit up straight
116,1.08,1.41,sit up straight
117,1.14,1.42,sit up straight
118,1.17,1.42,sit up straight
